date,ret_m,n_picks,scale,picks,reason,breadth,d_sma200,spy_vol
2007-01-31,-0.007892944705196206,29,1.0,"PBG,GT,CBRE,TPR,JWN,SPG,CSCO,WEN,GOOGL,BXP,HAS,KIM,NEE,CME,SRE,AMZN,GS,DE,CTSH,PRU,MAR,SHW,MCO,ETR,PCAR,IFF,AAPL,TMO,SYY",ok,0.5200601805416248,0.08635573319892671,0.07808354269229517
2007-02-28,-0.001,30,1.0,"PBG,CBRE,GT,SPG,ATI,BXP,CME,TPR,GOOGL,JWN,GS,KIM,SHW,CTSH,RL,NEE,HAS,PRU,NUE,PCAR,DE,AZO,SRE,ADSK,VMC,SYK,UNP,ETR,WAT,TMO",ok,0.5030090270812437,0.0520228754635442,0.1554497566660575
2007-03-30,0.0,0,0.0,,regime_dsma,,,
2007-04-30,0.01917665484331694,30,1.0,"PBG,GT,VMC,X,SYMC,PCAR,BXP,CBRE,PPL,SPG,TPR,RL,PEG,ETR,VLO,PRU,CTSH,DE,NEE,KIM,CME,AIZ,SYK,TAP,ETN,AAPL,CHRW,TSN,GILD,COP",ok,0.4974924774322969,0.07844985433508009,0.0754736893026379
2007-05-31,-0.001,30,1.0,"PBG,GT,CMI,PCAR,AMZN,EXC,SYMC,ETR,CCU,VMC,VLO,CHRW,PPL,PRU,PEG,BEN,AIZ,GILD,UNP,SPG,TAP,CBRE,TMO,L,CVS,BXP,BDX,HAS,KIM,KR",ok,0.5070210631895687,0.09180926346781364,0.0807532997394758
2007-06-29,0.0,0,0.0,,regime_dsma,,,
2007-07-31,0.0,0,0.0,,regime_breadth,0.31895687061183553,,
2007-08-31,0.0,0,0.0,,regime_breadth,0.3319959879638917,,
2007-09-28,0.0,0,0.0,,regime_dsma,,,
2007-10-31,0.0,0,0.0,,regime_breadth,0.39317953861584753,,
2007-11-30,0.0,0,0.0,,regime_breadth,0.29839518555667,,
2007-12-31,0.0,0,0.0,,regime_breadth,0.2773319959879639,,
2008-01-31,0.0,0,0.0,,regime_dsma,,,
2008-02-29,0.0,0,0.0,,regime_dsma,,,
2008-03-31,0.0,0,0.0,,regime_dsma,,,
2008-04-30,0.0,0,0.0,,regime_breadth,0.27883650952858574,,
2008-05-30,0.0,0,0.0,,regime_dsma,,,
2008-06-30,0.0,0,0.0,,regime_dsma,,,
2008-07-31,0.0,0,0.0,,regime_dsma,,,
2008-08-29,0.0,0,0.0,,regime_dsma,,,
2008-09-30,0.0,0,0.0,,regime_dsma,,,
2008-10-31,0.0,0,0.0,,regime_dsma,,,
2008-11-28,0.0,0,0.0,,regime_dsma,,,
2008-12-31,0.0,0,0.0,,regime_dsma,,,
2009-01-30,0.0,0,0.0,,regime_dsma,,,
2009-02-27,0.0,0,0.0,,regime_dsma,,,
2009-03-31,0.0,0,0.0,,regime_dsma,,,
2009-04-30,0.0,0,0.0,,regime_dsma,,,
2009-05-29,0.0,0,0.0,,regime_dsma,,,
2009-06-30,0.046798059516155996,30,0.9786152025999633,"AAPL,AMZN,TJX,APH,MDP,GLW,MCD,CTSH,GOOGL,ORLY,CTXS,ESRX,MO,APD,SEE,CL,NEE,HRL,MA,GWW,WAT,PEG,TMO,SRE,FISV,CHRW,BDX,KO,CVS,WEC",ok,0.48946840521564694,0.0513861693365197,0.18393337802415083
2009-07-31,0.012883355454220799,30,1.0,"AAPL,MDP,TJX,EMN,JNPR,CTXS,MCD,ORLY,GLW,IRM,CTSH,ORCL,CL,FISV,YUM,LH,GWW,KO,HRL,MO,GOOGL,CHRW,SRE,APD,ROK,CVS,DIS,NEE,MA,UNP",ok,0.5997993981945837,0.14591414135220274,0.17122547293221457
2009-08-31,0.03768891193976685,30,1.0,"EMN,AAPL,MDP,ROK,CSX,RL,SBUX,ESRX,JNPR,UNP,CAT,KLAC,HPQ,TJX,EBAY,PPG,ADBE,CL,A,APD,MA,IRM,GILD,SRE,EL,CVS,FISV,MO,SHW,WEC",ok,0.619358074222668,0.1709939657438653,0.16404894781469112
2009-09-30,-0.001,30,1.0,"ESRX,MCK,EMN,ROK,AAPL,A,CSX,TDC,CTSH,SBUX,CL,RL,UNP,HPQ,CTXS,TAP,BAX,SJM,CAT,TJX,CRM,MCD,CVS,MA,GIS,APD,APA,FISV,DVN,WEC",ok,0.6328986960882648,0.18367038385372225,0.12473412095202648
2009-10-30,0.0,0,0.0,,regime_dsma,,,
2009-11-30,0.04496977398151821,30,1.0,"ISRG,WHR,CRM,ESRX,MA,BKNG,MCK,ATGE,AAPL,HPQ,JWN,WDC,MCD,GIS,CAT,CL,AMZN,BEN,BAX,WELL,RL,AMT,GWW,CSX,LH,MO,WEC,DD,CNP,GOOGL",ok,0.5772316950852557,0.1645944517171454,0.14907289036881774
2009-12-31,-0.001,30,1.0,"BKNG,ISRG,AMZN,CAT,RRD,CRM,FCX,WHR,MA,PXD,CTSH,MCD,DD,EXPE,JWN,AMP,AAPL,CSX,VTR,NTAP,BEN,CL,GOOGL,EL,SWK,AMT,WELL,OXY,A,GWW",ok,0.5852557673019058,0.13659020609679567,0.09845329136039364
2010-01-29,0.0,0,0.0,,regime_dsma,,,
2010-02-26,0.0,0,0.0,,regime_dsma,,,
2010-03-31,0.019803713251542936,30,1.0,"EL,CLF,F,MCD,BKNG,ESRX,VIAV,ATGE,AMZN,ISRG,GWW,CL,GIS,AKAM,SWK,DE,ORCL,MO,V,CMI,WEC,AMD,BDX,MA,OKE,GILD,CRM,CF,DTE,AMT",ok,0.5992978936810431,0.10800410383900579,0.07394311139020103
2010-04-30,-0.07305300680559855,30,1.0,"VIAV,CLF,AMD,X,BKNG,MCD,ATI,F,EL,HAS,LUV,BA,CL,RF,AAPL,TSN,FAST,GWW,ORCL,ISRG,WEC,CBRE,GIS,MU,SHW,ES,BIIB,HST,BDX,A",ok,0.5912738214643932,0.09255822597320106,0.1506472966081469
2010-05-31,0.0,0,0.0,,regime_breadth,0.38164493480441325,,
2010-06-30,0.0,0,0.0,,regime_dsma,,,
2010-07-30,0.0,0,0.0,,regime_dsma,,,
2010-08-31,0.0,0,0.0,,regime_dsma,,,
2010-09-30,-0.001,30,1.0,"CRM,MCD,SRCL,AKAM,AZO,WEC,INTU,CTXS,BKNG,CHRW,MO,GIS,CMI,ORLY,SO,PCG,MKC,KO,XEL,ECL,AMT,TDC,CTSH,SHW,DISCA,WELL,VTR,T,EQR,GWW",ok,0.48044132397191575,0.02908608251706106,0.12612603737709105
2010-10-29,0.0,0,0.0,,regime_dsma,,,
2010-11-30,0.04839959284093422,30,1.0,"BKNG,CF,MCD,CTXS,SRCL,ORCL,FTI,MO,AZO,WEC,KMX,FCX,PM,INTU,GWW,YUM,CHRW,KO,ES,DE,CMI,XEL,MA,SO,AAPL,ROP,VZ,MKC,BAX,WELL",ok,0.5085255767301906,0.04959529583904704,0.14908279882309072
2010-12-31,-0.014236112599727627,29,1.0,"BKNG,FFIV,NFLX,CF,MCD,NOV,KMX,CTXS,CRM,AZO,AMZN,FCX,SRCL,EXPD,GWW,ORCL,PH,CHRW,KO,MKC,ROP,WEC,MO,SLB,HRL,ES,HAL,CVX,SO",ok,0.6203610832497493,0.10631891482434351,0.042772429365041206
2011-01-31,0.03661275128787144,29,1.0,"NFLX,CF,NOV,BKNG,FCX,FFIV,SRCL,AZO,MCD,ORCL,AMZN,KMX,JBL,AGN,GWW,CMI,SHW,PH,A,MKC,TROW,HRL,OXY,SNA,LH,EL,SLB,COST,BDX",ok,0.6163490471414242,0.12098442202971642,0.0996128023425678
