date,ret_m,n_picks,scale,picks,reason,breadth,d_sma200,spy_vol
2007-01-31,-0.003957763266924021,29,1.0,"PBG,GT,CBRE,TPR,JWN,SPG,CSCO,WEN,GOOGL,BXP,HAS,CCU,KIM,UIS,NEE,CME,VNO,PSA,SRE,AMZN,GS,JNPR,DE,IAC,CTSH,PRU,MAR,SHW,AET",ok,0.5200601805416248,0.08635573319892671,0.07808354269229517
2007-02-28,-0.001,30,1.0,"PBG,CBRE,GT,SPG,ATI,BXP,CME,TPR,GOOGL,JWN,GS,KIM,AVB,UIS,PSA,WEN,SHW,CTSH,RL,NEE,VNO,HAS,X,PRU,NUE,PCAR,DE,AZO,SRE,ADSK",ok,0.5030090270812437,0.0520228754635442,0.1554497566660575
2007-03-30,0.0,0,0.0,,regime_dsma,,,
2007-04-30,0.014208279961908214,30,1.0,"PBG,GT,VMC,X,SYMC,PCAR,BIG,BXP,CBRE,PPL,SPG,TPR,RL,PEG,ESRX,TEX,ETR,VLO,NOV,PRU,CTSH,DE,NEE,KIM,CME,AIZ,SYK,TAP,ATI,EXC",ok,0.4974924774322969,0.07844985433508009,0.0754736893026379
2007-05-31,-0.001,30,1.0,"PBG,GT,CMI,PCAR,AMZN,EXC,SYMC,ETR,CCU,VMC,VLO,CVG,CHRW,ESRX,PPL,NOV,PRU,PEG,BEN,TEX,NEE,AIZ,X,GILD,SVU,UNP,SPG,SRE,BIG,TAP",ok,0.5070210631895687,0.09180926346781364,0.0807532997394758
2007-06-29,0.0,0,0.0,,regime_dsma,,,
2007-07-31,0.0,0,0.0,,regime_breadth,0.31895687061183553,,
2007-08-31,0.0,0,0.0,,regime_breadth,0.3319959879638917,,
2007-09-28,0.0,0,0.0,,regime_dsma,,,
2007-10-31,0.0,0,0.0,,regime_breadth,0.39317953861584753,,
2007-11-30,0.0,0,0.0,,regime_breadth,0.29839518555667,,
2007-12-31,0.0,0,0.0,,regime_breadth,0.2773319959879639,,
2008-01-31,0.0,0,0.0,,regime_dsma,,,
2008-02-29,0.0,0,0.0,,regime_dsma,,,
2008-03-31,0.0,0,0.0,,regime_dsma,,,
2008-04-30,0.0,0,0.0,,regime_breadth,0.27883650952858574,,
2008-05-30,0.0,0,0.0,,regime_dsma,,,
2008-06-30,0.0,0,0.0,,regime_dsma,,,
2008-07-31,0.0,0,0.0,,regime_dsma,,,
2008-08-29,0.0,0,0.0,,regime_dsma,,,
2008-09-30,0.0,0,0.0,,regime_dsma,,,
2008-10-31,0.0,0,0.0,,regime_dsma,,,
2008-11-28,0.0,0,0.0,,regime_dsma,,,
2008-12-31,0.0,0,0.0,,regime_dsma,,,
2009-01-30,0.0,0,0.0,,regime_dsma,,,
2009-02-27,0.0,0,0.0,,regime_dsma,,,
2009-03-31,0.0,0,0.0,,regime_dsma,,,
2009-04-30,0.0,0,0.0,,regime_dsma,,,
2009-05-29,0.0,0,0.0,,regime_dsma,,,
2009-06-30,0.06243979111358042,30,0.9786152025999633,"AAPL,AMZN,TJX,APH,MDP,GLW,MCD,CTSH,GOOGL,ORLY,CTXS,ESRX,MO,SBUX,AZO,IBM,ORCL,APD,SEE,SRCL,EMN,NTAP,CL,NEE,MYL,YUM,AGN,HRL,TLAB,GPS",ok,0.48946840521564694,0.0513861693365197,0.18393337802415083
2009-07-31,0.013018023636641219,30,1.0,"AAPL,MDP,TJX,EMN,JNPR,CTXS,MCD,ORLY,ESRX,GLW,IRM,CTSH,ORCL,CL,GPS,FISV,YUM,SEE,ADBE,QCOM,SRCL,RL,LH,GWW,KO,AMZN,TLAB,HRL,MO,GOOGL",ok,0.5997993981945837,0.14591414135220274,0.17122547293221457
2009-08-31,0.04922267487501677,30,1.0,"EMN,AAPL,MDP,ROK,CSX,RL,SBUX,ESRX,JNPR,UNP,CAT,KLAC,HPQ,TJX,EBAY,PPG,ADBE,CL,A,ORCL,MCD,GWW,CHRW,APD,FDX,SNA,CTXS,MA,YUM,GPS",ok,0.619358074222668,0.1709939657438653,0.16404894781469112
2009-09-30,-0.001,30,1.0,"ESRX,MCK,EMN,ROK,AAPL,A,CSX,TDC,CTSH,SBUX,CL,RL,UNP,HPQ,CTXS,TAP,BAX,SJM,CAT,TJX,CRM,ATGE,RSG,CHRW,MCD,TXN,EBAY,JCI,CVS,NTAP",ok,0.6328986960882648,0.18367038385372225,0.12473412095202648
2009-10-30,0.0,0,0.0,,regime_dsma,,,
2009-11-30,0.04384373123679306,30,1.0,"ISRG,WHR,CRM,ESRX,MA,BKNG,MCK,ATGE,AAPL,HPQ,JWN,WDC,MCD,CTSH,GIS,CAT,CL,PXD,AMZN,BEN,BAX,WELL,RL,SRCL,NTAP,APH,RRD,AMT,FTI,TJX",ok,0.5772316950852557,0.1645944517171454,0.14907289036881774
2009-12-31,-0.001,30,1.0,"BKNG,ISRG,AMZN,CAT,RRD,CRM,FCX,WHR,MA,PXD,CTSH,MCD,DD,EXPE,JWN,FLS,ESRX,FTI,AMP,EMN,AAPL,CSX,SRCL,VTR,RL,NTAP,BEN,CL,R,GOOGL",ok,0.5852557673019058,0.13659020609679567,0.09845329136039364
