,ml_pred,idio_mom,momentum,low_risk,quality,lt_rev,trend_q,earn_drift,composite
2003-03-31,-0.00039464379048253443,-0.03247460424417953,-0.03418207451416431,-0.0038209278972397643,-0.014033827026862244,0.012974022382956106,-0.008500416975251411,4.513730141241076e-05,-0.010048416845476409
2003-04-30,-0.016016503214205197,-0.04065372372909761,-0.04813488161351349,-0.05988362913471308,-0.04970854266203546,0.025040398644920858,-0.03921354433327027,-0.0207110520014243,-0.03116018475541732
2003-05-30,0.03093839852115495,-0.011300506056927083,-0.012795842705758594,-0.011563385615448549,-0.013987327705579618,0.003450032418302875,-0.01252719764978362,0.0019873202016063105,-0.0032248135740541653
2003-06-30,-0.003703350272420116,-0.02682926067840933,-0.028931501785386983,0.0014615760173125924,-0.0021188040254808424,0.022485416915147532,0.000753330586522442,0.0034381066148132288,-0.0041805608284876845
2003-07-31,-0.0033630376692154623,-0.00034985876021826473,0.0023563687287297182,-0.01863786391203356,-0.004809227687450804,0.016603099923553157,0.0011094504591525767,0.0014228440172475098,-0.0007085281125293916
2003-08-29,0.0021507613100328767,0.008541993959811386,0.008549694534690115,-0.025347398338592328,-0.018509617720702348,0.0014675574566081796,-0.01958139499436662,0.002802260472981538,-0.00499076791494215
2003-09-30,-0.0009515946818396881,0.011553824642068805,0.007882943902107108,-0.020533430568071463,-0.0032585920977504933,0.0065970313560163646,-0.003253630124765035,-0.0013793946462470979,-0.00041785527731018763
2003-10-31,0.008934469823340155,-0.006183675363284543,-0.006967646815650408,-0.04633005088369481,-0.024395393812732168,0.06118750080805467,-0.02154496061560647,0.004220700611798638,-0.003884882030971867
2003-11-28,-0.015986937963647283,-0.022276354582764238,-0.02034221505450438,-0.011302075421148859,-0.02168874952406092,0.004714312848702091,-0.021599913676634858,-0.01971724324896524,-0.01602489707787796
2003-12-31,-0.013590417732563496,0.0014493100759609663,0.006126645829322029,-0.018466759068275274,-0.012534007782142396,0.006140490537609237,-0.01976478158029161,-0.003957295970462379,-0.0068246019613553656
2004-01-30,-0.00144081162831386,0.007788236181610252,-0.001986689270134488,0.006823471888342178,0.0062318060754885385,-0.031152057621101566,0.009600292560830054,-0.01497346411268414,-0.0023886519907453793
2004-02-27,-0.001732778848033778,0.006979765274495271,0.007147783285337609,-0.0033919493862021124,0.009410028990478521,-0.02498368703124913,0.010889277109564144,0.002537781960102866,0.000857027669311674
2004-03-31,-0.000819506001234821,-0.014908624058902392,-0.019238102245971653,0.0037083483073924047,-0.011505451368396416,0.022811877325471873,-0.010211226842953195,0.002521472919450156,-0.003651083814441447
2004-04-30,0.0051984974984030236,0.0011392097361966978,0.0036785451137502476,-0.007312957128072338,-0.0015340252971597983,-0.003536614041308252,0.0005834257125566654,-0.0003527642530026385,0.00015084240170193435
2004-06-30,0.013352677188008207,0.01631570249774915,0.014982631784879583,-0.0001977206805599248,-0.007342150802616307,0.007524918752109847,-0.007756569949639964,-0.008692189472637911,0.002150598561608723
2004-07-30,0.01753602565106072,-0.0077176585206204015,-0.010688433797315596,0.016858539282969622,0.008612602158599441,-0.01114271273933562,0.00740984874241943,-0.002206688765421043,0.0037808894607403607
2004-08-31,-0.008979604562374921,0.02084669914492626,0.007770280501167468,-0.039124414694952425,-0.005786074221797534,0.06339370146131043,-0.005949846378525494,-0.008658695523060768,-0.0002195743358552847
2004-09-30,-0.0005739856950208548,-0.007099332132165529,-0.008424939441018403,0.0012355279201134296,0.005685741102123085,0.004300736012921884,0.008824733775983518,0.0024414935569816013,0.0006374794534081381
2004-10-29,0.007201801418021523,0.029462306359686115,0.020178110122070842,-0.03725872112601808,-0.005634069103699179,-0.0016951828569793702,-0.003436251927642009,0.018732618641905997,0.006741125802778658
